gameweek,date,home_team,away_team
4,12/9/2026,Aston Villa,Nott'm Forest
4,12/9/2026,Bournemouth,Brentford
4,12/9/2026,Chelsea,Hull
4,12/9/2026,Crystal Palace,Ipswich
4,12/9/2026,Liverpool,Fulham
4,12/9/2026,Tottenham,Everton
4,12/9/2026,Sunderland,Arsenal
4,13/9/2026,Coventry,Brighton
4,13/9/2026,Man United,Man City
4,14/9/2026,Leeds,Newcastle
5,18/9/2026,Brentford,Chelsea
5,19/9/2026,Tottenham,Aston Villa
5,19/9/2026,Brighton,Arsenal
5,19/9/2026,Everton,Ipswich
5,19/9/2026,Newcastle,Hull
5,19/9/2026,Nott'm Forest,Coventry
5,20/9/2026,Bournemouth,Liverpool
5,20/9/2026,Leeds,Crystal Palace
5,20/9/2026,Man City,Sunderland
5,20/9/2026,Fulham,Man United
